Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
identificar nichos mercado,identificar nichos mercado,Identificar nichos mercado,4671,Identificar oportunidades de mercado
mercado tic,identificar mercado tic,Identificar mercado tic,4671,Identificar oportunidades de mercado
identificar mercados potenciales empresas,identificar mercados potenciales empresas,Identificar mercados potenciales empresas,4671,Identificar oportunidades de mercado
evaluar impacto tala fauna silvestre,evaluar impacto tala fauna silvestre,Evaluar impacto tala fauna silvestre,4672,Evaluar impacto ambiental de la tala en la fauna silvestre
mantener mezcladores productos químicos,mantener mezcladores productos químicos,Mantener mezcladores productos químicos,4673,Gestionar mantenimiento de mezcladores de productos químicos
despegar aterrizar,realizar operaciones de despegue y aterrizaje,Realizar operaciones de despegue y aterrizaje,4674,Coordinar operaciones de despegue y aterrizaje
elaborar previsiones despegue aterrizaje,elaborar previsiones despegue aterrizaje,Elaborar previsiones despegue aterrizaje,4674,Coordinar operaciones de despegue y aterrizaje
memorizar gran cantidad información,memorizar gran cantidad información,Memorizar gran cantidad información,4675,Absorber y retener información extensa
instalar burletes goma,instalar burletes goma,Instalar burletes goma,4676,Instalar selladores de goma
revisar juicios,revisar juicios,Revisar juicios,4677,Evaluar decisiones judiciales
metalógica,demostrar conocimientos sobre metalógica,Demostrar conocimientos sobre metalógica,4678,Aplicar conocimientos en metalógica
construir esclusas canales,construir esclusas canales,Construir esclusas canales,4679,Diseñar y construir esclusas y canales
atender pacientes derivados afecciones oculares,atender pacientes derivados afecciones oculares,Atender pacientes derivados afecciones oculares,4680,Atender afecciones oculares en pacientes derivados
obtener patrocinios,obtener patrocinios,Obtener patrocinios,4681,Gestionar la adquisición de patrocinios
supervisar infraestructura piscina,supervisar infraestructura piscina,Supervisar infraestructura piscina,4682,Supervisar mantenimiento y gestión de instalaciones deportivas y termales
supervisar mantenimiento instalaciones deportivas,supervisar mantenimiento instalaciones deportivas,Supervisar mantenimiento instalaciones deportivas,4682,Supervisar mantenimiento y gestión de instalaciones deportivas y termales
supervisar mantenimiento instalaciones termales,supervisar mantenimiento instalaciones termales,Supervisar mantenimiento instalaciones termales,4682,Supervisar mantenimiento y gestión de instalaciones deportivas y termales
supervisar presupuesto gestión instalaciones,supervisar presupuesto gestión instalaciones,Supervisar presupuesto gestión instalaciones,4682,Supervisar mantenimiento y gestión de instalaciones deportivas y termales
resolver problemas juegos azar través medios digitales,resolver problemas juegos azar través medios digitales,Resolver problemas juegos azar través medios digitales,4683,Diseñar soluciones de juegos de azar digitales
contribuir proteger individuos cualquier daño,contribuir proteger individuos cualquier daño,Contribuir proteger individuos cualquier daño,4684,Proteger a individuos de posibles daños
seguir procedimientos higiénicos tratamiento alimentos,seguir procedimientos higiénicos tratamiento alimentos,Seguir procedimientos higiénicos tratamiento alimentos,4685,Implementar procedimientos de higiene en la manipulación de alimentos
garantizar seguridad ganado ovino,garantizar seguridad comprender el proceso de ganado ovino,Garantizar seguridad comprender el proceso de ganado ovino,4686,Administrar y garantizar el bienestar del ganado ovino
proporcionar cuidados ganado ovino,proporcionar cuidados comprender el proceso de ganado ovino,Proporcionar cuidados comprender el proceso de ganado ovino,4686,Administrar y garantizar el bienestar del ganado ovino
aprobar diseño técnico,aprobar diseño técnico,Aprobar diseño técnico,4687,Evaluar y aprobar proyectos de diseño técnico
métodos adiestramiento perros guía,métodos adiestramiento perros guía,Métodos adiestramiento perros guía,4688,Adiestrar perros guía
gráficos movimiento,crear gráficos en movimiento,Crear gráficos en movimiento,4689,Diseñar animaciones gráficas
realizar operaciones buque costa,operaciones buque costa,Realizar operaciones buque costa,4690,Coordinar operaciones marítimas de buque a costa
aplicar pensamiento diseño sistémico,aplicar pensamiento diseño sistémico,Aplicar pensamiento diseño sistémico,4691,Implementar pensamiento sistémico y de diseño
pensamiento sistémico,aplicar pensamiento sistemico,Aplicar pensamiento sistemico,4691,Implementar pensamiento sistémico y de diseño
llevar cabo cursos formación uso equipos biomédicos,llevar cabo cursos formación uso equipos biomédicos,Llevar cabo cursos formación uso equipos biomédicos,4692,Impartir formación en uso de equipos biomédicos
alquilación,demostrar conocimientos sobre alquilación,Demostrar conocimientos sobre alquilación,4693,Aplicar conocimientos de alquilación
proporcionar materiales clase,proporcionar materiales clase,Proporcionar materiales clase,4694,Preparar materiales didácticos para clases
sintetizar publicaciones investigación,sintetizar publicaciones investigación,Sintetizar publicaciones investigación,4695,Realizar síntesis de investigaciones publicadas
proteger humedales desarrollo proyectos,proteger humedales desarrollo proyectos,Proteger humedales desarrollo proyectos,4696,Gestionar proyectos de protección de humedales
ofrecer apoyo jóvenes sido víctimas agresión sexual,ofrecer apoyo jóvenes sido víctimas agresión sexual,Ofrecer apoyo jóvenes sido víctimas agresión sexual,4697,Brindar apoyo y asistencia en la recuperación de jóvenes víctimas de agresiones sexuales
apoyar proceso curación relativo agresiones sexuales,apoyar proceso curación relativo agresiones sexuales,Apoyar proceso curación relativo agresiones sexuales,4697,Brindar apoyo y asistencia en la recuperación de jóvenes víctimas de agresiones sexuales
prever demanda productos,prever demanda productos,Prever demanda productos,4698,Pronosticar tendencias de consumo de productos
fabricar gelatinas base carne,fabricar gelatinas base carne,Fabricar gelatinas base carne,4699,Elaborar gelatinas de origen cárnico
psicosociología,aplicar principios de psicosociología para entender y mejorar las dinámicas sociales en entornos organizacionales,Aplicar principios de psicosociología para entender y mejorar las dinámicas sociales en entornos organizacionales,4700,Implementar principios de psicosociología en entornos organizacionales
aprovechar máximo eficiencia operaciones grúa,aprovechar máximo eficiencia operaciones grúa,Aprovechar máximo eficiencia operaciones grúa,4701,Optimizar operaciones de manejo de grúa
establecer requisitos térmicos,establecer requisitos térmicos,Establecer requisitos térmicos,4702,Determinar especificaciones térmicas
verificar densidad líquidos,verificar densidad líquidos,Verificar densidad líquidos,4703,Medir densidad de líquidos
sistemas seguimiento desperdicio alimentos,sistemas seguimiento desperdicio alimentos,Sistemas seguimiento desperdicio alimentos,4704,Implementar sistemas de seguimiento de desperdicio de alimentos
establecer objetivos transporte,establecer objetivos transporte,Establecer objetivos transporte,4705,Coordinar logística de transporte
controlar sonido estudio ensayo,controlar sonido estudio ensayo,Controlar sonido estudio ensayo,4706,Manejar control de sonido en estudio de ensayo
normativa estacionamiento,aplicar normativas de estacionamiento,Aplicar normativas de estacionamiento,4707,Implementar regulaciones de estacionamiento
ocuparse tanques coagulación,ocuparse tanques coagulación,Ocuparse tanques coagulación,4708,Operar tanques de coagulación
documentar incidentes seguridad ocurren tienda,documentar incidentes seguridad ocurren tienda,Documentar incidentes seguridad ocurren tienda,4709,Registrar incidentes de seguridad en comercios
gestionar cuentas,gestionar cuentas,Gestionar cuentas,4710,Gestionar y solucionar problemas de cuentas bancarias empresariales
gestionar cuentas bancarias empresa,gestionar cuentas bancarias empresa,Gestionar cuentas bancarias empresa,4710,Gestionar y solucionar problemas de cuentas bancarias empresariales
solucionar problemas cuentas bancarias,solucionar problemas cuentas bancarias,Solucionar problemas cuentas bancarias,4710,Gestionar y solucionar problemas de cuentas bancarias empresariales
arquitectura información,estructura la arquitectura de la información,Estructura la arquitectura de la información,4711,Diseñar estructuras de información eficientes
aplicar aprendizaje mixto,aplicar aprendizaje mixto,Aplicar aprendizaje mixto,4712,Implementar estrategias de aprendizaje mixto
morfología,demostrar conocimientos en morfología,Demostrar conocimientos en morfología,4713,Aplicar conocimientos en morfología
lijar aplicar nueva capa revestimiento,lijar aplicar nueva capa revestimiento,Lijar aplicar nueva capa revestimiento,4714,Realizar trabajos de lijado y revestimiento
identificar carencias competencias digitales,identificar carencias competencias digitales,Identificar carencias competencias digitales,4715,Evaluar deficiencias en habilidades digitales
aconsejar cursos formación,aconsejar cursos formación,Aconsejar cursos formación,4716,Coordinar formación profesional
promover cursos formativos,promover cursos formativos,Promover cursos formativos,4716,Coordinar formación profesional
leer textos redactados previamente,leer textos redactados previamente,Leer textos redactados previamente,4717,Interpretar textos escritos
resolver problemas asistencia sanitaria,resolver problemas asistencia sanitaria,Resolver problemas asistencia sanitaria,4718,Gestionar soluciones y comunicación en asistencia sanitaria
comunicarse asistencia sanitaria,comunicarse asistencia sanitaria,Comunicarse asistencia sanitaria,4718,Gestionar soluciones y comunicación en asistencia sanitaria
